Time (day),Injector1-Liquid Rate SC,Injector2-Liquid Rate SC
0.01044,900.000061,1200
0.018537,900.000061,1200
0.029872,900.000061,1200
0.054527,900.000061,1200
0.084388,900.000061,1200
0.134188,900.000061,1200
0.192962,900.000061,1200
0.282779,900.000061,1200
0.37001,900.000061,1200
0.479484,900.000061,1200
0.611606,900.000061,1200
0.738832,900.000061,1200
0.869416,900.000061,1200
1,900.000061,1200
1.146153,900.000061,1200
1.284004,900.000061,1200
1.453954,900.000061,1200
1.649457,900.000061,1200
1.824728,900.000061,1200
2,900.000061,1200
2.216108,900.000061,1200
2.454608,900.000061,1200
2.727304,900.000061,1200
3,900.000061,1200
3.344356,900.000061,1200
3.672178,900.000061,1200
4,900.000061,1200
4.399144,900.000061,1200
4.699572,900.000061,1200
5,900.000061,1200
5.410689,900.000061,1200
5.705345,900.000061,1200
6,900.000061,1200
6.409396,900.000061,1200
6.704698,900.000061,1200
7,900.000061,1200
7.343658,900.000061,1200
7.671829,900.000061,1200
8,900.000061,1200
8.48825,900.000061,1200
9,900.000061,1200
9.5,900.000061,1200
10,900.000061,1200
10.5,900.000061,1200
11,900.000061,1200
11.5,900.000061,1200
12,900.000061,1200
12.5,900.000061,1200
13,900.000061,1200
13.5,900.000061,1200
14,900.000061,1200
14.5,900.000061,1200
15,900.000061,1200
15.5,900.000061,1200
16,900.000061,1200
16.5,900.000061,1200
17,900.000061,1200
17.5,900.000061,1200
18,900.000061,1200
18.5,900.000061,1200
19,900.000061,1200
19.5,900.000061,1200
20,900.000061,1200
20.5,900.000061,1200
21,900.000061,1200
21.5,900.000061,1200
22,900.000061,1200
22.5,900.000061,1200
23,900.000061,1200
23.5,900.000061,1200
24,900.000061,1200
24.5,900.000061,1200
25,900.000061,1200
25.5,900.000061,1200
26,900.000061,1200
26.5,900.000061,1200
27,900.000061,1200
27.5,900.000061,1200
28,900.000061,1200
28.5,900.000061,1200
29,900.000061,1200
29.5,900.000061,1200
30,900.000061,1200
30.5,900.000061,1200
31,900.000061,1200
31.5,900.000061,1200
32,900.000061,1200
32.5,900.000061,1200
33,900.000061,1200
33.5,900.000061,1200
34,900.000061,1200
34.490158,900.000061,1200
34.745079,900.000061,1200
35,900.000061,1200
35.486351,900.000061,1200
36,900.000061,1200
36.5,900.000061,1200
37,900.000061,1200
37.5,900.000061,1200
38,900.000061,1200
39,900.000061,1200
40,900.000061,1200
41,900.000061,1200
42,900.000061,1200
43,900.000061,1200
44,900.000061,1200
45,900.000061,1200
46,900.000061,1200
47,900.000061,1200
48,900.000061,1200
49,900.000061,1200
50,900.000061,1200
51,900.000061,1200
52,900.000061,1200
53,900.000061,1200
54,900.000061,1200
55,900.000061,1200
56,900.000061,1200
57,900.000061,1200
58,900.000061,1200
59,900.000061,1200
60,900.000061,1200
61,900.000061,1200
62,900.000061,1200
63,900.000061,1200
64,900.000061,1200
65,900.000061,1200
66,900.000061,1200
67,900.000061,1200
68,900.000061,1200
69,900.000061,1200
70,900.000061,1200
71,900.000061,1200
