Time (day),Injector1-Well Bottom-hole Pressure,Injector2-Well Bottom-hole Pressure
0.01044,1824.606934,1912.695557
0.018537,1868.640503,1972.987915
0.029872,1880.883789,1996.233276
0.054527,1899.986084,2054.076416
0.084388,1921.812012,2092.829102
0.134188,1947.504517,2146.008301
0.192962,1968.691406,2191.204834
0.282779,1992.441284,2240.664795
0.37001,2014.241699,2274.001953
0.479484,2034.924194,2308.484375
0.611606,2055.473877,2336.322998
0.738832,2069.897461,2357.715576
0.869416,2082.423096,2375.208008
1,2092.555664,2390.121338
1.146153,2101.568848,2401.901123
1.284004,2108.648926,2412.614502
1.453954,2115.415039,2423.935059
1.649457,2121.140137,2437.274414
1.824728,2125.773682,2445.712891
2,2129.309326,2455.270508
2.216108,2132.134033,2464.380127
2.454608,2134.213379,2473.602539
2.727304,2135.906494,2482.529541
3,2136.680664,2488.952148
3.344356,2136.009277,2493.707764
3.672178,2133.611084,2496.257324
4,2129.935791,2498.088623
4.399144,2125.0354,2501.578613
4.699572,2120.938232,2504
5,2116.650879,2506.095947
5.410689,2111.925781,2510.175293
5.705345,2108.564209,2513.433594
6,2105.047607,2516.734131
6.409396,2099.709961,2521.264648
6.704698,2095.599609,2524.598633
7,2090.66333,2525.375488
7.343658,2084.866943,2525.121094
7.671829,2079.23999,2523.887695
8,2073.490723,2521.759033
8.48825,2065.116699,2518.376709
9,2056.634522,2514.819824
9.5,2048.812744,2510.78125
10,2041.571289,2506.431152
10.5,2034.941406,2501.907715
11,2028.756836,2497.131348
11.5,2022.990479,2492.378174
12,2017.359619,2487.601318
12.5,2011.912109,2483.02832
13,2006.286865,2478.592529
13.5,2000.442871,2474.312256
14,1994.511719,2470.245117
14.5,1988.328857,2466.247559
15,1982.192505,2462.43457
15.5,1976.179443,2458.781982
16,1970.291016,2455.257568
16.5,1964.560059,2451.886963
17,1959.108276,2448.650391
17.5,1953.769653,2445.563721
18,1948.664063,2442.614258
18.5,1943.724976,2439.785645
19,1938.942749,2437.061768
19.5,1934.545166,2434.406006
20,1930.439453,2431.832764
20.5,1926.647949,2429.319092
21,1923.165161,2426.882568
21.5,1919.941284,2424.466553
22,1916.992554,2422.101807
22.5,1914.20752,2419.744385
23,1911.719238,2417.427002
23.5,1909.405029,2415.144043
24,1907.367554,2412.915283
24.5,1905.561279,2410.736816
25,1904.010986,2408.591553
25.5,1902.637573,2406.469971
26,1901.473267,2404.385742
26.5,1900.479858,2402.339111
27,1899.744629,2400.33252
27.5,1899.206543,2398.368164
28,1898.767334,2396.440186
28.5,1898.484131,2394.554199
29,1898.307007,2392.680908
29.5,1898.318604,2390.845703
30,1898.497559,2389.020996
30.5,1899.001221,2387.219971
31,1899.75354,2385.445801
31.5,1900.709106,2383.695068
32,1901.789795,2381.969482
32.5,1902.880493,2380.265869
33,1904.004639,2378.601318
33.5,1905.081543,2376.959961
34,1906.126221,2375.340332
34.490158,1907.161865,2373.771973
34.745079,1907.715454,2372.936279
35,1908.262451,2372.133789
35.486351,1909.313355,2370.65625
36,1910.586792,2369.089111
36.5,1911.904785,2367.585449
37,1913.217773,2366.112549
37.5,1914.4021,2364.665039
38,1915.471802,2363.243897
39,1917.143921,2360.533936
40,1918.406982,2357.927246
41,1919.213989,2355.428955
42,1919.725098,2353.050537
43,1920.028198,2350.781494
44,1920.1604,2348.620361
45,1920.125,2346.547852
46,1919.927368,2344.593262
47,1919.605103,2342.724365
48,1919.192627,2340.94751
49,1918.78772,2339.265381
50,1918.255493,2337.648438
51,1917.724609,2336.096191
52,1917.14148,2334.603272
53,1916.477417,2333.173096
54,1915.741333,2331.791992
55,1914.905029,2330.459961
56,1914.02124,2329.174316
57,1913.107056,2327.929688
58,1912.162231,2326.718262
59,1911.157593,2325.544922
60,1910.157715,2324.414063
61,1909.143921,2323.309815
62,1908.128052,2322.238037
63,1907.103149,2321.187256
64,1906.062622,2320.161865
65,1905.053589,2319.162354
66,1904.020996,2318.184326
67,1902.980347,2317.229492
68,1901.955566,2316.290039
69,1900.928955,2315.367432
70,1899.90686,2314.462402
71,1898.914307,2313.569336
72,1897.90625,2312.693359
73,1845.10791,2311.779297
74,1830.366699,2310.81665
75,1821.123291,2309.779297
76,1814.150879,2308.63794
77,1808.428833,2307.399902
78,1803.512329,2306.062012
79,1799.166138,2304.622559
80,1795.251709,2303.090088
81,1791.670044,2301.473389
82,1788.355347,2299.772217
83,1785.260254,2298.008545
84,1782.348755,2296.178711
85,1779.601563,2294.28418
86,1776.989746,2292.342041
87,1774.494995,2290.355713
88,1772.103882,2288.331299
89,1769.802246,2286.274414
90,1767.576172,2284.190186
91,1765.418823,2282.081299
92,1763.323364,2279.95874
93,1761.281006,2277.814209
94,1759.283325,2275.654785
95,1757.322998,2273.488037
96,1755.398193,2271.31958
97,1753.51294,2269.140625
98,1751.654907,2266.964844
99,1749.832642,2264.784668
100,1748.03479,2262.605469
101,1746.25769,2260.428467
102,1744.503052,2258.255859
103,1742.769287,2256.087647
104,1741.057495,2253.924316
105,1739.367188,2251.768066
106,1737.697266,2249.619385
107,1736.043335,2247.479492
108,1734.405273,2245.349609
109,1732.783936,2243.230469
110,1731.178345,2241.121826
111,1729.587647,2239.023438
112,1728.011231,2236.937012
113,1726.447632,2234.862549
114,1724.895874,2232.801758
115,1723.35669,2230.753174
116,1721.830322,2228.717529
117,1720.31604,2226.696045
118,1718.815064,2224.688477
119,1717.32605,2222.694336
120,1715.848267,2220.712891
121,1714.380493,2218.744385
122,1712.927612,2216.785889
123,1711.485596,2214.8396
124,1710.055664,2212.905518
125,1708.638916,2210.983887
126,1707.234131,2209.075195
127,1705.840332,2207.178955
128,1704.458496,2205.293945
129,1703.088745,2203.420654
130,1701.730225,2201.558594
131,1700.382935,2199.70874
132,1699.048706,2197.87085
133,1697.725342,2196.04419
134,1696.414429,2194.229004
135,1695.115967,2192.42627
136,1693.831787,2190.635498
137,1692.559937,2188.85669
138,1691.299439,2187.089356
139,1690.049561,2185.334961
140,1688.810181,2183.592041
141,1687.580444,2181.859863
142,1686.36084,2180.13794
143,1685.151001,2178.42749
144,1683.951538,2176.724854
145,1682.761108,2175.033936
146,1681.581177,2173.351563
147,1680.411133,2171.682617
148,1679.250855,2170.02124
149,1678.100098,2168.371582
150,1676.958496,2166.734863
151,1675.82666,2165.109375
152,1674.703857,2163.495361
153,1673.590698,2161.898438
154,1672.487183,2160.312256
155,1671.393066,2158.734863
156,1670.308594,2157.171143
157,1669.233154,2155.615967
158,1668.166992,2154.073242
159,1667.11084,2152.543213
160,1666.0625,2151.027344
161,1665.022339,2149.526611
162,1663.989746,2148.033691
163,1662.96521,2146.557861
164,1661.94812,2145.087158
165,1660.938355,2143.633789
166,1659.935913,2142.18457
167,1658.940674,2140.752686
168,1657.952515,2139.330322
169,1656.971924,2137.913086
170,1655.997925,2136.511475
171,1655.031982,2135.114746
172,1654.073731,2133.726563
173,1653.122681,2132.35083
174,1652.179932,2130.983154
175,1651.244995,2129.626465
176,1650.315308,2128.280762
177,1649.394775,2126.940918
178,1648.482544,2125.614014
179,1647.580322,2124.287354
180,1646.683716,2122.972412
181,1645.795776,2121.671631
182,1644.914185,2120.375488
183,1644.03894,2119.09375
184,1643.17041,2117.819824
185,1642.307739,2116.560547
186,1641.450928,2115.304688
187,1640.599976,2114.074707
188,1639.754273,2112.852783
189,1638.915772,2111.639648
190,1638.07959,2110.450928
191,1637.251587,2109.260986
192,1636.425781,2108.092773
193,1635.605835,2106.932617
194,1634.790039,2105.780762
195,1633.978882,2104.644043
196,1633.171143,2103.513672
197,1632.369629,2102.399902
198,1631.574341,2101.294922
199,1630.787598,2100.198486
200,1630.005005,2099.118897
201,1629.229614,2098.05127
202,1628.460327,2096.989746
203,1627.697998,2095.940186
204,1626.942139,2094.899902
205,1626.192871,2093.869629
206,1625.450684,2092.846924
207,1624.715332,2091.833252
208,1623.98645,2090.828613
209,1623.264282,2089.832275
210,1622.550293,2088.843262
211,1621.840332,2087.863281
211.95833,1621.166382,2086.928467
212,1665.145508,2086.882813
212.20835,1693.209595,2086.663574
213,1728.043457,2085.943848
214,1749.648193,2085.204834
215,1763.358154,2084.678711
216,1773.275024,2084.392334
217,1780.973145,2084.350586
218,1787.216309,2084.544678
219,1792.425049,2084.963379
220,1796.858887,2085.586426
221,1800.689209,2086.394775
222,1804.030396,2087.370117
223,1806.970459,2088.494385
224,1809.576416,2089.750977
225,1811.900269,2091.123291
226,1813.983398,2092.597412
227,1815.855713,2094.159424
228,1817.544434,2095.797363
229,1819.071167,2097.500244
230,1820.456055,2099.25708
231,1821.712769,2101.058838
232,1822.855103,2102.896729
233,1823.893921,2104.763916
234,1824.839966,2106.656494
235,1825.702881,2108.564941
236,1826.48938,2110.486816
237,1827.207153,2112.414063
238,1827.861816,2114.341553
239,1828.458984,2116.265869
240,1829.00354,2118.183106
241,1829.5,2120.090088
242,1829.951538,2121.984131
243,1829.91333,1317.024536
243.479165,1829.710205,1200
243.95833,1829.320313,1200
244,1829.276611,1200
244.20835,1829.022827,1200
245,1827.454834,1200
245.5,1826.058106,1200
246,1824.498169,1200
247,1820.489624,1200
248,1815.512451,1200
249,1810.282349,1200
250,1804.712524,1200
251,1798.974121,1200
252,1793.190064,1200
253,1787.44519,1200
254,1781.800049,1200
255,1776.307617,1200
256,1770.997192,1200
257,1765.884766,1200
258,1760.992188,1200
259,1756.317261,1200
260,1751.876587,1200
261,1747.655151,1200
262,1743.654419,1200
263,1739.866211,1195.947632
264,1736.289185,1193.147095
265,1732.903687,1190.498779
266,1729.709839,1187.955566
267,1726.695923,1185.515381
268,1723.8302,1183.179321
269,1721.132935,1180.949341
270,1718.572876,1178.821655
271,1716.141846,1176.79419
272,1713.836182,1174.866089
273,1711.655762,1173.030518
274,1709.567261,1171.283081
275,1707.583008,1169.621582
276,1705.6875,1168.04187
277,1703.891602,1166.54187
278,1702.186523,1165.115234
279,1700.565796,1163.759155
280,1699.020996,1162.469849
281,1697.541016,1161.244507
282,1696.149902,1160.079956
283,1694.838501,1158.971191
284,1693.588623,1157.915527
285,1692.403076,1156.910034
286,1691.27063,1155.95166
287,1690.184937,1155.038452
288,1689.144043,1154.168335
289,1688.147217,1153.340454
290,1687.180176,1152.55127
291,1686.258911,1151.799927
292,1685.375,1151.083984
293,1684.517822,1150.401245
294,1683.698364,1149.751099
295,1682.904785,1149.130737
296,1682.143311,1148.539673
297,1681.403687,1147.97522
298,1680.703125,1147.437256
299,1680.02832,1146.922485
300,1679.380615,1146.430786
301,1678.760132,1145.960693
302,1678.171509,1145.511108
303,1677.604004,1145.080322
304,1677.059448,1144.667725
305,1676.542969,1144.272217
306,1676.043335,1143.892334
307,1675.565308,1143.527832
308,1675.112305,1143.177612
309,1674.690796,1142.840088
310,1674.284546,1142.514648
311,1673.897339,1142.201294
312,1673.511353,1141.899292
313,1673.131592,1141.608765
314,1672.759399,1141.32959
315,1672.393555,1141.061768
316,1672.037354,1140.805054
317,1671.695435,1140.557495
318,1671.368042,1140.318237
319,1671.046387,1140.087524
320,1670.736572,1139.865601
321,1670.433594,1139.651367
322,1670.143433,1139.444702
323,1669.862915,1139.244873
324,1669.585815,1139.051148
325,1669.311157,1138.863403
326,1669.037598,1138.681274
327,1668.771973,1138.504883
328,1668.511963,1138.333252
329,1668.251099,1138.166382
330,1667.988281,1138.004639
331,1667.735352,1137.847534
332,1667.479004,1137.693726
333,1667.21875,1137.54419
334,1666.891968,1000
335,1666.507813,1000
336,1665.930298,964.4234619
337,1665.235962,956.2843628
338,1664.43811,951.9174194
339,1663.581055,949.0980225
340,1662.670532,947.1704712
341,1661.736328,945.8092041
342,1660.791382,944.8307495
343,1659.854858,944.1177368
344,1658.94458,943.5924683
345,1658.060669,943.2021484
346,1657.212647,942.9105835
347,1656.417236,942.6877441
348,1655.637329,942.5290527
349,1654.895264,942.4089966
350,1654.190186,942.3175049
351,1653.522583,942.2511597
352,1652.889038,942.2051392
353,1652.287598,942.1730347
354,1651.711304,942.15448
355,1651.160889,942.1453247
356,1650.633667,942.1409912
357,1650.128662,942.1433716
358,1649.646851,942.1486816
359,1649.185791,942.1567993
360,1648.744751,942.1667481
361,1648.323242,942.177124
362,1647.916138,942.1881714
363,1647.526001,942.2002564
364,1647.151733,942.2128296
364.95834,1646.803833,942.2241211
365,1500,942.2233276
365.135179,1500,942.2225342
365.56759,1500,942.2235107
366,1500,942.2094727
367,1500,942.0681763
368,1500,941.8084106
369,1485.646484,941.4523926
370,1477.520996,941.0296021
371,1470.895508,940.557312
372,1465.256714,940.0507813
373,1460.355957,939.5229492
374,1456.036987,938.9837036
375,1452.189819,938.4377441
376,1448.733398,937.8945923
377,1445.606079,937.3590088
378,1442.760742,936.8356323
379,1440.160645,936.326294
380,1437.775024,935.8327026
381,1435.578369,935.3560181
382,1433.549927,934.8964844
383,1431.671631,934.454834
384,1429.928955,934.0309448
385,1428.309326,933.6244507
386,1426.801636,933.2347412
387,1425.395508,932.8616943
388,1424.082153,932.5039063
389,1422.853638,932.1616821
