Time (day),Producer1-Well Bottom-hole Pressure,Producer2-Well Bottom-hole Pressure,Producer3-Well Bottom-hole Pressure,Producer4-Well Bottom-hole Pressure
0.01044,1526.357544,1455.888428,1549.934204,1461.270508
0.018537,1511.583374,1426.352295,1539.749268,1435.529541
0.029872,1498.742798,1398.370606,1531.155151,1411.790649
0.054527,1479.540894,1354.234131,1518.609619,1376.265503
0.084388,1461.706421,1311.489746,1507.656982,1344.603272
0.134188,1439.229614,1255.14563,1495.880737,1308.182617
0.192962,1418.35022,1200.617676,1487.275147,1277.994873
0.282779,1393.780762,1133.874023,1480.696167,1247.732422
0.37001,1374.153931,1079.172607,1477.787476,1226.871826
0.479484,1353.717773,1021.612244,1476.993164,1208.272705
0.611606,1332.811401,963.1867065,1478.091431,1191.882446
0.738832,1314.967041,914.4117432,1480.131958,1179.492188
0.869416,1298.361572,870.529419,1482.705689,1169.102295
1,1282.997681,831.5298462,1485.5,1160.265625
1.146153,1266.967285,792.8100586,1488.62085,1151.875244
1.284004,1252.630737,759.8178711,1491.439697,1144.954834
1.453954,1235.890381,723.5995483,1494.678955,1137.566773
1.649457,1217.686279,686.6608887,1497.933228,1130.097412
1.824728,1201.9375,656.5438232,1500.617065,1124.08252
2,1186.780884,629.0853272,1502.964722,1118.543579
2.216108,1168.767578,598.5154419,1505.52356,1112.360718
2.454608,1149.60022,567.975769,1507.976685,1106.067383
2.727304,1128.459961,536.4193726,1510.34375,1099.441162
3,1107.943237,507.4897156,1512.330811,1093.453003
3.344356,1082.98645,474.4318848,1514.552002,1086.716309
3.672178,1059.987915,444.0843506,1516.647339,1080.739136
4,1037.752441,415.6109314,1518.841431,1074.918213
4.399144,1011.674744,385.7600403,1521.532227,1067.432251
4.699572,992.5021362,366.4214783,1523.791138,1061.665283
5,973.8743897,355.463562,1526.095581,1055.924194
5.410689,949.3203735,339.5769348,1529.307861,1047.201904
5.705345,932.060791,327.8902283,1531.624512,1040.818726
6,915.2836914,314.8475952,1533.991089,1034.244263
6.409396,892.9364014,293.983551,1537.365356,1024.425781
6.704698,877.2610474,300,1539.899414,1016.957703
7,862.1056519,300,1542.448608,1009.513306
7.343658,845.2120972,300,1545.097046,1000.390076
7.671829,829.7285156,300,1547.292114,992.2785645
8,814.8554077,300,1549.087402,985.0897827
