Time (day),Producer1-Liquid Rate SC,Producer2-Liquid Rate SC,Producer3-Liquid Rate SC,Producer4-Liquid Rate SC
0.01044,500,800,400,800
0.018537,500,800,400,800
0.029872,500,800,400,800
0.054527,500,800,400,800
0.084388,500,800,400,800
0.134188,500,800,400,800
0.192962,500,800,400,800
0.282779,500,800,400,800
0.37001,500,800,400,800
0.479484,500,800,400,800
0.611606,500,800,400,800
0.738832,500,800,400,800
0.869416,500,800,400,800
1,500,800,400,800
1.146153,500,800,400,800
1.284004,500,800,400,800
1.453954,500,800,400,800
1.649457,500,800,400,800
1.824728,500,800,400,800
2,500,800,400,800
2.216108,500,800,400,800
2.454608,500,800,400,800
2.727304,500,800,400,800
3,500,800,400,800
3.344356,500,800,400,800
3.672178,500,800,400,800
4,500,800,400,800
4.399144,500,800,400,800
4.699572,500,800,400,800
5,500,800,400,800
5.410689,500,800,400,800
5.705345,500,800,400,800
6,500,800,400,800
6.409396,500,800,400,800
6.704698,500,740.171875,400,800
7,500,727.8126831,400,800
7.343658,500,711.4369507,400,800
7.671829,500,696.8466797,400,800
8,500,684.3059692,400,800
8.48825,500,669.4139404,400,800
9,500,656.689209,400,800
9.5,500,646.4598389,400,800
10,500,637.6223755,400,800
10.5,500,629.616394,400,800
11,500,622.4545288,400,800
11.5,500,616.0559082,400,800
12,500,610.3573608,400,800
12.5,500,604.897522,400,800
13,500,599.617981,400,800
13.5,500,594.4198608,400,800
14,500,589.248169,400,800
14.5,500,584.0817261,400,800
15,500,578.9442749,400,800
15.5,500,573.4602051,400,800
16,500,567.8571777,400,800
16.5,500,562.0793457,400,800
17,500,556.1322632,400,800
17.5,500,550.3728027,400,800
18,500,544.708252,400,800
18.5,500,539.1738281,400,800
19,500,533.9242554,400,800
19.5,484.7640381,528.911499,400,800
20,477.2216187,524.3989868,400,800
20.5,471.3114319,520.1884766,400,800
21,466.3661499,516.2284546,400,800
21.5,462.2122498,512.6593628,400,800
22,458.6586304,509.3158264,400,800
22.5,455.3736572,506.3843689,400,800
23,452.1784973,503.6817627,400,800
23.5,448.8756409,501.157196,400,800
24,446.0545349,498.7952271,400,800
24.5,442.5610657,496.5048523,400,800
25,439.5357971,494.4596863,400,800
25.5,436.8886414,492.4547119,400,800
26,433.8772583,490.5705261,400,800
26.5,431.2446594,488.7466126,400,800
27,427.8951721,486.8131104,400,800
27.5,425.2490234,485.0319214,400,800
28,423.3477478,483.315155,400,800
28.5,421.1072083,481.7092285,400,800
29,418.6312866,480.0376282,400,800
29.5,416.2533875,478.310791,400,800
30,408.2477417,476.3088379,400,800
30.5,396.1679382,474.2592468,400,800
31,388.2513123,472.2966614,400,800
31.5,383.1159363,470.1033936,400,800
32,384.8264771,467.3336792,400,800
32.5,389.0426331,463.781189,400,800
33,392.4778137,459.7892761,400,800
33.5,399.6357422,455.0787354,400,800
34,400.8761597,449.9291077,400,800
34.490158,404.4437561,444.3399658,400,800
34.745079,405.657074,441.1472473,400,800
35,407.0934753,435.454773,400,800
35.486351,410.1067505,410.6027222,400,800
36,412.2332459,394.8340759,400,800
36.5,413.8640442,398.5538635,400,800
37,415.6767273,403.1419678,400,800
37.5,418.1296997,410.833374,400,800
38,420.8896484,417.4573364,400,800
39,425.3846741,422.9659729,400,800
40,429.1044312,427.0675964,400,800
41,432.2766419,432.0463257,400,800
42,436.0886536,435.4427795,400,800
43,437.7584839,437.8288574,400,800
44,439.8776856,439.7727051,400,800
45,441.6822205,441.5727539,400,800
46,443.2077026,442.5122681,400,800
47,444.5106506,443.9063721,400,800
48,445.7112427,444.4275208,400,800
49,446.7962341,444.9554443,400,800
50,447.9145508,445.4284058,400,800
51,448.8728943,445.94104,400,800
52,449.7363892,446.253418,400,800
53,450.5097046,446.4819336,400,800
54,451.1966248,446.7907105,400,800
55,451.806427,446.8802185,400,800
56,452.344696,447.1073303,400,800
57,452.8200073,447.1611328,400,800
58,453.2418518,447.2023621,400,800
59,453.6121216,447.2209168,400,800
60,453.9405518,447.1979981,400,800
61,454.2298279,447.1694946,400,800
62,454.4879456,447.1387634,400,800
63,454.7094727,447.128418,400,800
64,454.9120178,447.1849976,400,800
65,455.0889587,447.1828613,400,800
66,455.2493286,447.2662659,400,800
67,455.3828125,447.2810669,400,800
68,455.5028381,447.2654724,400,800
69,455.6125488,447.2521057,400,800
70,455.7250061,447.2612305,400,800
71,455.9217835,447.3110962,400,800
72,455.9329529,447.3559265,400,800
73,451.2956238,444.4423218,400,800
74,446.6721802,440.7954102,400,800
75,442.8009338,437.5635986,400,800
76,439.5703735,434.7421265,400,800
77,436.8366394,432.6281433,400,800
78,434.4859314,430.8635864,400,800
79,432.4352722,429.2503357,400,800
80,430.6359863,427.9851685,400,800
81,429.0412293,426.7797241,400,800
82,427.613739,425.7063294,400,800
83,426.337738,424.8503723,400,800
84,425.1832581,424.0079651,400,800
85,424.1309509,423.5031433,400,800
86,423.1719666,422.8848267,400,800
87,422.2926331,422.3340149,400,800
88,421.4932251,421.8664856,400,800
89,420.7477417,421.4155884,400,800
90,420.0491333,421.2643127,400,800
91,419.390564,420.8061523,400,800
92,418.7697449,420.5815125,400,800
93,418.1764832,420.3512573,400,800
94,417.6112671,420.131012,400,800
95,417.0707092,419.9667053,400,800
96,416.5529785,419.8283386,400,800
97,416.0487061,419.75177,400,800
98,415.5631409,419.7153015,400,800
99,415.0859985,419.6979065,400,800
100,414.6194153,419.6851196,400,800
101,414.1647339,419.6869202,400,800
102,413.7173462,419.7098999,400,800
103,413.2752686,419.7480164,400,800
104,412.8365173,419.7948608,400,800
105,412.4031677,419.8712158,400,800
106,411.9699097,419.9509888,400,800
107,411.5422974,420.0610962,400,800
108,411.1213684,420.1576843,400,800
109,410.6989136,420.2576294,400,800
110,410.2778015,420.3664856,400,800
111,409.8694153,420.4832764,400,800
112,409.4559937,420.6079102,400,800
113,409.0451965,420.7365723,400,800
114,408.6342773,420.935669,400,800
115,408.2229614,421.0875244,400,800
116,407.8121948,421.245697,400,800
117,407.4026184,421.4104004,400,800
118,406.9941406,421.5692749,400,800
119,406.5863953,421.7358093,400,800
120,406.1818848,421.9407044,400,800
121,405.7819824,422.1157227,400,800
122,405.384613,422.2803955,400,800
123,404.9898682,422.4373169,400,800
124,404.5981751,422.585907,400,800
125,404.2102661,422.9614868,400,800
126,403.8262024,422.9548645,400,800
127,403.4439392,423.0980225,400,800
128,403.0638733,423.2415466,400,800
129,402.6865234,423.3731384,400,800
130,402.3122253,423.5111389,400,800
131,401.9412231,423.6315918,400,800
132,401.573761,423.7529602,400,800
133,401.2081604,423.8720093,400,800
134,400.8445129,423.9874573,400,800
135,400.482605,424.1017761,400,800
136,400.1227722,424.2083435,400,800
137,399.7654114,424.3125,400,800
138,399.4113464,424.4249573,400,800
139,399.0593262,424.5374146,400,800
140,398.7096863,424.6494446,400,800
141,398.3619385,424.7607727,400,800
142,398.0149536,424.8742371,400,800
143,397.6691895,424.989624,400,800
144,397.3250732,425.104187,400,800
145,396.9812622,425.2416077,400,800
146,396.63797,425.3633118,400,800
147,396.2967224,425.4912415,400,800
148,395.9563294,425.6097412,400,800
149,395.6184387,425.7247925,400,800
150,395.2931519,425.8330078,400,800
151,394.9638672,425.9349976,400,800
152,394.6348572,426.0622864,400,800
153,394.3061523,426.1689148,400,800
154,393.9771423,426.2767944,400,800
155,393.6487427,426.3882446,400,800
156,393.3214111,426.497345,400,800
157,392.9959717,426.6061096,400,800
158,392.6702271,426.7120972,400,800
159,392.3458252,426.822052,400,800
160,392.0219727,426.9368286,400,800
161,391.698822,427.0557251,400,800
162,391.3783569,427.1795044,400,800
163,391.0565491,427.3056946,400,800
164,390.7353821,427.4405823,400,800
165,390.4139099,427.5808106,400,800
166,390.0924377,427.7206116,400,800
167,389.7704468,427.8664246,400,800
168,389.4488525,428.0099793,400,800
169,389.1268616,428.1530762,400,800
170,388.8056946,428.2982178,400,800
171,388.4876099,428.4478149,400,800
172,388.1710205,428.5963135,400,800
173,387.8565979,428.7396545,400,800
174,387.5419312,428.87854,400,800
175,387.229126,429.0201111,400,800
176,386.9172669,429.1582031,400,800
177,386.6078491,429.2938843,400,800
178,386.3000488,429.4226685,400,800
179,385.9954224,429.5486755,400,800
180,385.6921082,429.6797791,400,800
181,385.3931274,429.8254395,400,800
182,385.0963745,429.9687195,400,800
183,384.8002319,430.1080322,400,800
184,384.5084534,430.2421875,400,800
185,384.2298584,430.3735962,400,800
186,383.9370422,430.5105591,400,800
187,383.6522217,430.6471252,400,800
188,383.3678589,430.7872315,400,800
189,383.0844727,430.9304504,400,800
190,382.8023071,431.0786133,400,800
191,382.5218811,431.2292175,400,800
192,382.2420044,431.3967896,400,800
193,381.9623108,431.5527954,400,800
194,381.6825867,431.7353821,400,800
195,381.4043579,431.8978577,400,800
196,381.1266785,432.0553589,400,800
197,380.8514404,432.2076721,400,800
198,380.57724,432.3554077,400,800
199,380.3074951,432.503418,400,800
200,380.0397949,432.6433411,400,800
201,379.7791748,432.7770996,400,800
202,379.5190735,432.9048462,400,800
203,379.2616577,433.0318604,400,800
204,379.0075989,433.1539917,400,800
205,378.7557068,433.2709656,400,800
206,378.5074158,433.3854675,400,800
207,378.2627258,433.4973755,400,800
208,378.0238342,433.6069336,400,800
209,377.787323,433.7132874,400,800
210,377.5544739,433.8196716,400,800
211,377.3261108,433.9219666,400,800
211.95833,377.1102295,434.0195923,400,800
212,377.15448,434.0250855,400,800
212.20835,379.2511902,434.6651917,400,800
213,389.4317932,442.2428589,400,800
214,399.5125122,451.8578186,400,800
215,407.3041077,459.6783142,400,800
216,413.4750061,465.9353943,400,800
217,418.5417481,471.0830689,400,800
218,422.7799683,475.3612366,400,800
219,426.377533,479.0037842,400,800
220,429.4529114,482.1765137,400,800
221,432.1074829,484.9534912,400,800
222,434.4147949,487.4235535,400,800
223,436.4353027,489.6468201,400,800
224,438.2168579,491.646637,400,800
225,439.798523,493.4661865,400,800
226,441.2109375,495.1222229,400,800
227,442.4807129,496.654419,400,800
228,443.625,498.0616455,400,800
229,444.6618042,499.3583679,400,800
230,445.6044312,500.5543518,400,800
231,446.4665222,501.6704712,400,800
232,447.2549133,502.7200012,400,800
233,447.97995,503.7138672,400,800
234,448.6486511,504.6513977,400,800
235,449.2661438,505.5667114,400,800
236,449.8367615,506.4240418,400,800
237,450.3682861,507.2440186,400,800
238,450.8619385,508.0346985,400,800
239,451.3200989,508.7905579,400,800
240,451.748169,509.5220642,400,800
241,452.1489868,510.2286377,400,800
242,452.5252075,510.9134522,400,800
243,452.8079529,511.522522,400,800
243.479165,452.8971252,511.7928772,400,800
